datetime,type,entry_price,bb_lower,tp_ratio,sl_ratio,bb_upper
2023-01-01 07:30:00,강력한 반전 (BB 찢고 복귀),16537.5,16523.369023249335,1.5,1.0,
2023-01-01 16:15:00,추세확정 (BB 상단 돌파),16589.0,,2.0,1.0,16584.615170982233
2023-01-01 17:15:00,추세확정 (BB 상단 돌파),16592.5,,2.0,1.0,16589.57354569724
2023-01-01 18:00:00,추세확정 (BB 상단 돌파),16600.5,,2.0,1.0,16600.33418124387
2023-01-01 19:15:00,추세확정 (BB 상단 돌파),16629.5,,2.0,1.0,16624.58056026986
2023-01-02 01:30:00,역추세 반등 (BB 하단),16574.5,16570.411803533916,1.0,1.0,
2023-01-02 01:30:00,강력한 반전 (BB 찢고 복귀),16574.5,16570.411803533916,1.5,1.0,
2023-01-02 02:00:00,강력한 반전 (BB 찢고 복귀),16576.5,16563.823663328247,1.5,1.0,
2023-01-02 03:45:00,추세확정 (BB 상단 돌파),16664.5,,2.0,1.0,16643.17376718146
2023-01-02 07:00:00,추세확정 (BB 상단 돌파),16698.0,,2.0,1.0,16693.936899957404
2023-01-02 13:45:00,역추세 반등 (BB 하단),16694.0,16698.117998993068,1.0,1.0,
2023-01-02 14:00:00,역추세 반등 (BB 하단),16706.5,16696.642055672586,1.0,1.0,
2023-01-02 14:00:00,강력한 반전 (BB 찢고 복귀),16706.5,16696.642055672586,1.5,1.0,
2023-01-02 14:30:00,역추세 반등 (BB 하단),16700.5,16688.643807466906,1.0,1.0,
2023-01-02 14:30:00,강력한 반전 (BB 찢고 복귀),16700.5,16688.643807466906,1.5,1.0,
2023-01-02 21:45:00,추세확정 (BB 상단 돌파),16752.0,,2.0,1.0,16743.87781414397
2023-01-02 23:00:00,역추세 반등 (BB 하단),16713.0,16696.360179182106,1.0,1.0,
2023-01-02 23:00:00,강력한 반전 (BB 찢고 복귀),16713.0,16696.360179182106,1.5,1.0,
2023-01-03 00:00:00,역추세 반등 (BB 하단),16682.0,16676.10224863864,1.0,1.0,
2023-01-03 00:00:00,강력한 반전 (BB 찢고 복귀),16682.0,16676.10224863864,1.5,1.0,
2023-01-03 05:45:00,추세확정 (BB 상단 돌파),16719.5,,2.0,1.0,16713.417948748553
2023-01-03 14:30:00,추세확정 (BB 상단 돌파),16748.0,,2.0,1.0,16746.685344078807
2023-01-03 15:00:00,역추세 반등 (BB 하단),16658.5,16671.466787901412,1.0,1.0,
2023-01-03 15:30:00,역추세 반등 (BB 하단),16653.0,16648.140119909265,1.0,1.0,
2023-01-03 15:30:00,강력한 반전 (BB 찢고 복귀),16653.0,16648.140119909265,1.5,1.0,
2023-01-04 01:00:00,추세확정 (BB 상단 돌파),16692.0,,2.0,1.0,16684.703451168636
2023-01-04 02:30:00,추세확정 (BB 상단 돌파),16739.0,,2.0,1.0,16727.795140723538
2023-01-04 03:00:00,추세확정 (BB 상단 돌파),16831.5,,2.0,1.0,16774.779865889042
2023-01-04 03:45:00,추세확정 (BB 상단 돌파),16853.5,,2.0,1.0,16835.83492682518
2023-01-04 10:45:00,역추세 반등 (BB 하단),16838.0,16825.353216572563,1.0,1.0,
2023-01-04 12:00:00,강력한 반전 (BB 찢고 복귀),16840.0,16823.732674819654,1.5,1.0,
2023-01-04 13:00:00,역추세 반등 (BB 하단),16819.5,16816.120129800547,1.0,1.0,
2023-01-04 13:00:00,강력한 반전 (BB 찢고 복귀),16819.5,16816.120129800547,1.5,1.0,
2023-01-04 14:15:00,역추세 반등 (BB 하단),16816.0,16806.038980225418,1.0,1.0,
2023-01-04 14:15:00,강력한 반전 (BB 찢고 복귀),16816.0,16806.038980225418,1.5,1.0,
2023-01-04 14:30:00,강력한 반전 (BB 찢고 복귀),16834.0,16806.73958273569,1.5,1.0,
2023-01-04 15:15:00,역추세 반등 (BB 하단),16815.5,16796.85731029012,1.0,1.0,
2023-01-04 15:15:00,강력한 반전 (BB 찢고 복귀),16815.5,16796.85731029012,1.5,1.0,
2023-01-04 16:00:00,추세확정 (BB 상단 돌파),16874.5,,2.0,1.0,16865.15342663662
2023-01-04 17:30:00,추세확정 (BB 상단 돌파),16911.5,,2.0,1.0,16891.62184349408
2023-01-04 18:30:00,추세확정 (BB 상단 돌파),16928.0,,2.0,1.0,16927.66631738785
2023-01-04 20:45:00,강력한 반전 (BB 찢고 복귀),16801.5,16773.203900094835,1.5,1.0,
2023-01-05 07:30:00,역추세 반등 (BB 하단),16806.5,16794.32746028947,1.0,1.0,
2023-01-05 07:30:00,강력한 반전 (BB 찢고 복귀),16806.5,16794.32746028947,1.5,1.0,
2023-01-05 09:45:00,강력한 반전 (BB 찢고 복귀),16803.0,16780.30996151331,1.5,1.0,
2023-01-05 14:00:00,역추세 반등 (BB 하단),16800.0,16781.39215751251,1.0,1.0,
2023-01-05 14:00:00,강력한 반전 (BB 찢고 복귀),16800.0,16781.39215751251,1.5,1.0,
2023-01-05 14:45:00,강력한 반전 (BB 찢고 복귀),16823.5,16779.844010863482,1.5,1.0,
2023-01-05 15:00:00,추세확정 (BB 상단 돌파),16857.5,,2.0,1.0,16849.348146697343
2023-01-05 15:30:00,추세확정 (BB 상단 돌파),16870.0,,2.0,1.0,16862.959065951916
2023-01-05 23:00:00,강력한 반전 (BB 찢고 복귀),16829.5,16820.26230494121,1.5,1.0,
2023-01-06 04:30:00,역추세 반등 (BB 하단),16810.0,16800.577501298205,1.0,1.0,
2023-01-06 04:30:00,강력한 반전 (BB 찢고 복귀),16810.0,16800.577501298205,1.5,1.0,
2023-01-06 06:30:00,강력한 반전 (BB 찢고 복귀),16796.0,16790.557737700638,1.5,1.0,
2023-01-06 07:15:00,역추세 반등 (BB 하단),16792.0,16776.013193069437,1.0,1.0,
2023-01-06 07:15:00,강력한 반전 (BB 찢고 복귀),16792.0,16776.013193069437,1.5,1.0,
2023-01-06 09:30:00,강력한 반전 (BB 찢고 복귀),16781.0,16769.10269609524,1.5,1.0,
2023-01-06 11:30:00,역추세 반등 (BB 하단),16747.0,16745.296659072766,1.0,1.0,
2023-01-06 11:30:00,강력한 반전 (BB 찢고 복귀),16747.0,16745.296659072766,1.5,1.0,
2023-01-06 12:30:00,역추세 반등 (BB 하단),16732.5,16715.4898238144,1.0,1.0,
2023-01-06 12:30:00,강력한 반전 (BB 찢고 복귀),16732.5,16715.4898238144,1.5,1.0,
2023-01-06 13:00:00,강력한 반전 (BB 찢고 복귀),16728.0,16705.973595196298,1.5,1.0,
2023-01-06 13:30:00,역추세 반등 (BB 하단),16774.5,16693.24839043777,1.0,1.0,
2023-01-06 13:30:00,강력한 반전 (BB 찢고 복귀),16774.5,16693.24839043777,1.5,1.0,
2023-01-06 15:30:00,추세확정 (BB 상단 돌파),16817.5,,2.0,1.0,16801.99408928735
2023-01-06 19:30:00,추세확정 (BB 상단 돌파),16920.0,,2.0,1.0,16895.095116432505
2023-01-07 10:45:00,역추세 반등 (BB 하단),16914.0,16909.992483222424,1.0,1.0,
2023-01-07 11:15:00,강력한 반전 (BB 찢고 복귀),16913.0,16906.60857701356,1.5,1.0,
2023-01-07 14:00:00,강력한 반전 (BB 찢고 복귀),16910.5,16904.679204972275,1.5,1.0,
2023-01-07 14:30:00,추세확정 (BB 상단 돌파),16935.0,,2.0,1.0,16929.09031641085
2023-01-08 00:45:00,역추세 반등 (BB 하단),16918.0,16917.408568160405,1.0,1.0,
2023-01-08 00:45:00,강력한 반전 (BB 찢고 복귀),16918.0,16917.408568160405,1.5,1.0,
2023-01-08 01:00:00,강력한 반전 (BB 찢고 복귀),16925.5,16916.930598744697,1.5,1.0,
2023-01-08 01:45:00,역추세 반등 (BB 하단),16924.0,16913.093843334165,1.0,1.0,
2023-01-08 01:45:00,강력한 반전 (BB 찢고 복귀),16924.0,16913.093843334165,1.5,1.0,
2023-01-08 09:15:00,추세확정 (BB 상단 돌파),16948.0,,2.0,1.0,16947.25507358626
2023-01-08 09:45:00,역추세 반등 (BB 하단),16927.0,16926.89218331042,1.0,1.0,
2023-01-08 09:45:00,강력한 반전 (BB 찢고 복귀),16927.0,16926.89218331042,1.5,1.0,
2023-01-08 14:30:00,추세확정 (BB 상단 돌파),16940.0,,2.0,1.0,16939.26757840954
2023-01-08 15:45:00,추세확정 (BB 상단 돌파),16990.0,,2.0,1.0,16966.35859974475
2023-01-08 23:00:00,추세확정 (BB 상단 돌파),17025.0,,2.0,1.0,17000.447889994688
2023-01-09 00:45:00,추세확정 (BB 상단 돌파),17175.5,,2.0,1.0,17174.115991646777
2023-01-09 09:30:00,추세확정 (BB 상단 돌파),17237.5,,2.0,1.0,17230.198852878148
2023-01-09 10:15:00,추세확정 (BB 상단 돌파),17247.0,,2.0,1.0,17239.332341709207
2023-01-09 14:00:00,강력한 반전 (BB 찢고 복귀),17217.5,17206.54873746385,1.5,1.0,
2023-01-09 14:15:00,강력한 반전 (BB 찢고 복귀),17233.5,17211.9801118415,1.5,1.0,
2023-01-09 16:00:00,추세확정 (BB 상단 돌파),17284.5,,2.0,1.0,17276.919908421427
2023-01-09 18:00:00,추세확정 (BB 상단 돌파),17375.5,,2.0,1.0,17373.74233105055
2023-01-09 20:15:00,역추세 반등 (BB 하단),17228.5,17225.63338742038,1.0,1.0,
2023-01-09 20:15:00,강력한 반전 (BB 찢고 복귀),17228.5,17225.63338742038,1.5,1.0,
2023-01-09 21:00:00,강력한 반전 (BB 찢고 복귀),17211.5,17193.917843439474,1.5,1.0,
2023-01-10 08:15:00,추세확정 (BB 상단 돌파),17244.0,,2.0,1.0,17230.644415766856
2023-01-10 08:45:00,추세확정 (BB 상단 돌파),17248.0,,2.0,1.0,17242.910684858525
2023-01-10 09:15:00,추세확정 (BB 상단 돌파),17269.5,,2.0,1.0,17261.268663554307
2023-01-10 13:00:00,강력한 반전 (BB 찢고 복귀),17213.0,17207.11075865382,1.5,1.0,
2023-01-10 15:00:00,추세확정 (BB 상단 돌파),17325.5,,2.0,1.0,17301.729375209714
2023-01-10 18:30:00,추세확정 (BB 상단 돌파),17391.5,,2.0,1.0,17373.270040170068
2023-01-11 03:00:00,역추세 반등 (BB 하단),17388.5,17380.890395381575,1.0,1.0,
2023-01-11 03:00:00,강력한 반전 (BB 찢고 복귀),17388.5,17380.890395381575,1.5,1.0,
2023-01-11 03:15:00,강력한 반전 (BB 찢고 복귀),17403.0,17379.329649461342,1.5,1.0,
2023-01-11 07:15:00,추세확정 (BB 상단 돌파),17441.5,,2.0,1.0,17437.968116764427
2023-01-11 12:30:00,역추세 반등 (BB 하단),17407.5,17400.318149632756,1.0,1.0,
2023-01-11 12:30:00,강력한 반전 (BB 찢고 복귀),17407.5,17400.318149632756,1.5,1.0,
2023-01-11 13:45:00,강력한 반전 (BB 찢고 복귀),17409.0,17393.210751882725,1.5,1.0,
2023-01-11 14:15:00,역추세 반등 (BB 하단),17391.5,17380.457395837635,1.0,1.0,
2023-01-11 14:15:00,강력한 반전 (BB 찢고 복귀),17391.5,17380.457395837635,1.5,1.0,
2023-01-11 14:30:00,강력한 반전 (BB 찢고 복귀),17414.0,17381.882545023283,1.5,1.0,
2023-01-11 16:00:00,역추세 반등 (BB 하단),17344.0,17340.750533680944,1.0,1.0,
2023-01-11 16:00:00,강력한 반전 (BB 찢고 복귀),17344.0,17340.750533680944,1.5,1.0,
2023-01-11 16:15:00,강력한 반전 (BB 찢고 복귀),17353.0,17335.798896738375,1.5,1.0,
2023-01-11 18:00:00,추세확정 (BB 상단 돌파),17509.5,,2.0,1.0,17463.71246007832
2023-01-11 23:15:00,추세확정 (BB 상단 돌파),17629.5,,2.0,1.0,17591.763026224166
2023-01-12 00:45:00,추세확정 (BB 상단 돌파),18259.0,,2.0,1.0,18112.251727837836
2023-01-12 06:00:00,역추세 반등 (BB 하단),18112.5,18104.137193233655,1.0,1.0,
2023-01-12 06:00:00,강력한 반전 (BB 찢고 복귀),18112.5,18104.137193233655,1.5,1.0,
2023-01-12 12:45:00,추세확정 (BB 상단 돌파),18264.5,,2.0,1.0,18251.11760257287
2023-01-12 13:30:00,역추세 반등 (BB 하단),18146.0,18079.979324806405,1.0,1.0,
2023-01-12 13:30:00,강력한 반전 (BB 찢고 복귀),18146.0,18079.979324806405,1.5,1.0,
2023-01-12 14:45:00,역추세 반등 (BB 하단),17987.0,18004.38039373652,1.0,1.0,
2023-01-12 15:00:00,역추세 반등 (BB 하단),18095.5,17999.956424420754,1.0,1.0,
2023-01-12 15:00:00,강력한 반전 (BB 찢고 복귀),18095.5,17999.956424420754,1.5,1.0,
2023-01-12 17:30:00,추세확정 (BB 상단 돌파),18642.0,,2.0,1.0,18443.2631934858
2023-01-13 00:45:00,역추세 반등 (BB 하단),18753.0,18688.32759832081,1.0,1.0,
2023-01-13 09:30:00,추세확정 (BB 상단 돌파),18877.0,,2.0,1.0,18870.205821602616
2023-01-13 10:45:00,추세확정 (BB 상단 돌파),19024.5,,2.0,1.0,18976.75126596801
2023-01-13 15:00:00,추세확정 (BB 상단 돌파),19114.5,,2.0,1.0,19058.466659275375
2023-01-13 21:30:00,추세확정 (BB 상단 돌파),19750.0,,2.0,1.0,19592.264815643935
2023-01-14 00:00:00,추세확정 (BB 상단 돌파),20244.0,,2.0,1.0,20214.24569755557
2023-01-14 08:30:00,추세확정 (BB 상단 돌파),21032.0,,2.0,1.0,21021.624921767587
2023-01-14 09:45:00,역추세 반등 (BB 하단),20536.5,20524.26535597028,1.0,1.0,
2023-01-14 09:45:00,강력한 반전 (BB 찢고 복귀),20536.5,20524.26535597028,1.5,1.0,
2023-01-14 10:30:00,역추세 반등 (BB 하단),20434.0,20312.620935410145,1.0,1.0,
2023-01-14 10:30:00,강력한 반전 (BB 찢고 복귀),20434.0,20312.620935410145,1.5,1.0,
2023-01-14 18:30:00,강력한 반전 (BB 찢고 복귀),20754.5,20671.258955139052,1.5,1.0,
2023-01-14 21:00:00,추세확정 (BB 상단 돌파),20933.5,,2.0,1.0,20925.1134576871
2023-01-14 22:30:00,추세확정 (BB 상단 돌파),20985.5,,2.0,1.0,20984.732907591664
2023-01-14 23:15:00,추세확정 (BB 상단 돌파),21066.0,,2.0,1.0,21058.60008180746
2023-01-15 00:45:00,역추세 반등 (BB 하단),20765.0,20704.47886868838,1.0,1.0,
2023-01-15 00:45:00,강력한 반전 (BB 찢고 복귀),20765.0,20704.47886868838,1.5,1.0,
2023-01-15 08:30:00,역추세 반등 (BB 하단),20692.5,20673.353389213346,1.0,1.0,
2023-01-15 08:30:00,강력한 반전 (BB 찢고 복귀),20692.5,20673.353389213346,1.5,1.0,
2023-01-15 09:15:00,역추세 반등 (BB 하단),20648.0,20616.86362036678,1.0,1.0,
2023-01-15 09:15:00,강력한 반전 (BB 찢고 복귀),20648.0,20616.86362036678,1.5,1.0,
2023-01-15 14:45:00,추세확정 (BB 상단 돌파),20801.5,,2.0,1.0,20787.20191485883
2023-01-16 00:30:00,강력한 반전 (BB 찢고 복귀),20838.0,20809.374167379297,1.5,1.0,
2023-01-16 00:45:00,추세확정 (BB 상단 돌파),20975.0,,2.0,1.0,20960.900222176853
2023-01-16 02:15:00,추세확정 (BB 상단 돌파),21355.0,,2.0,1.0,21302.439718852882
2023-01-16 08:15:00,역추세 반등 (BB 하단),20809.5,20878.60505673054,1.0,1.0,
2023-01-16 09:00:00,역추세 반등 (BB 하단),20808.5,20728.06554009826,1.0,1.0,
2023-01-16 09:00:00,강력한 반전 (BB 찢고 복귀),20808.5,20728.06554009826,1.5,1.0,
2023-01-16 13:45:00,강력한 반전 (BB 찢고 복귀),20830.0,20786.788159539065,1.5,1.0,
2023-01-16 14:15:00,강력한 반전 (BB 찢고 복귀),20868.0,20783.730642403152,1.5,1.0,
2023-01-16 15:15:00,역추세 반등 (BB 하단),20893.0,20736.890957675463,1.0,1.0,
2023-01-16 15:15:00,강력한 반전 (BB 찢고 복귀),20893.0,20736.890957675463,1.5,1.0,
2023-01-16 15:30:00,추세확정 (BB 상단 돌파),20970.5,,2.0,1.0,20942.954175134153
2023-01-16 18:45:00,추세확정 (BB 상단 돌파),21272.5,,2.0,1.0,21248.65493222655
2023-01-17 00:00:00,강력한 반전 (BB 찢고 복귀),21269.5,21070.68716797085,1.5,1.0,
2023-01-17 01:15:00,역추세 반등 (BB 하단),20987.5,20994.712638366866,1.0,1.0,
2023-01-17 01:30:00,역추세 반등 (BB 하단),21026.0,20981.611720580775,1.0,1.0,
2023-01-17 01:30:00,강력한 반전 (BB 찢고 복귀),21026.0,20981.611720580775,1.5,1.0,
2023-01-17 12:00:00,추세확정 (BB 상단 돌파),21258.5,,2.0,1.0,21241.17240319427
2023-01-17 14:00:00,추세확정 (BB 상단 돌파),21384.0,,2.0,1.0,21334.399552009378
2023-01-17 15:45:00,강력한 반전 (BB 찢고 복귀),21170.5,21099.006052366818,1.5,1.0,
2023-01-17 23:00:00,강력한 반전 (BB 찢고 복귀),21242.5,21213.534081311056,1.5,1.0,
2023-01-18 00:15:00,역추세 반등 (BB 하단),21146.0,21093.720486165083,1.0,1.0,
2023-01-18 00:15:00,강력한 반전 (BB 찢고 복귀),21146.0,21093.720486165083,1.5,1.0,
2023-01-18 03:00:00,추세확정 (BB 상단 돌파),21339.5,,2.0,1.0,21334.23533309104
2023-01-18 08:30:00,역추세 반등 (BB 하단),21246.0,21231.44088271063,1.0,1.0,
2023-01-18 08:30:00,강력한 반전 (BB 찢고 복귀),21246.0,21231.44088271063,1.5,1.0,
2023-01-18 09:15:00,강력한 반전 (BB 찢고 복귀),21242.0,21222.729013851607,1.5,1.0,
2023-01-18 09:45:00,역추세 반등 (BB 하단),21218.0,21195.120596194378,1.0,1.0,
2023-01-18 09:45:00,강력한 반전 (BB 찢고 복귀),21218.0,21195.120596194378,1.5,1.0,
2023-01-18 11:00:00,역추세 반등 (BB 하단),21198.5,21160.792946010984,1.0,1.0,
2023-01-18 11:00:00,강력한 반전 (BB 찢고 복귀),21198.5,21160.792946010984,1.5,1.0,
2023-01-18 13:00:00,추세확정 (BB 상단 돌파),21278.5,,2.0,1.0,21276.573039600225
2023-01-18 13:30:00,추세확정 (BB 상단 돌파),21316.0,,2.0,1.0,21296.320145689704
2023-01-18 16:45:00,역추세 반등 (BB 하단),20848.0,20638.80996417408,1.0,1.0,
2023-01-18 16:45:00,강력한 반전 (BB 찢고 복귀),20848.0,20638.80996417408,1.5,1.0,
2023-01-18 22:15:00,강력한 반전 (BB 찢고 복귀),20734.0,20663.59508636356,1.5,1.0,
2023-01-19 04:15:00,추세확정 (BB 상단 돌파),20818.5,,2.0,1.0,20815.466222410058
2023-01-19 09:00:00,역추세 반등 (BB 하단),20760.0,20764.975270274113,1.0,1.0,
2023-01-19 09:30:00,역추세 반등 (BB 하단),20789.0,20753.636717729387,1.0,1.0,
2023-01-19 09:30:00,강력한 반전 (BB 찢고 복귀),20789.0,20753.636717729387,1.5,1.0,
2023-01-19 11:30:00,역추세 반등 (BB 하단),20723.0,20713.0564944929,1.0,1.0,
2023-01-19 11:30:00,강력한 반전 (BB 찢고 복귀),20723.0,20713.0564944929,1.5,1.0,
2023-01-19 12:00:00,강력한 반전 (BB 찢고 복귀),20750.0,20705.724389340154,1.5,1.0,
2023-01-19 13:15:00,역추세 반등 (BB 하단),20757.5,20687.129743003057,1.0,1.0,
2023-01-19 13:15:00,강력한 반전 (BB 찢고 복귀),20757.5,20687.129743003057,1.5,1.0,
2023-01-19 13:30:00,강력한 반전 (BB 찢고 복귀),20764.5,20688.359505605713,1.5,1.0,
2023-01-19 15:00:00,추세확정 (BB 상단 돌파),20831.5,,2.0,1.0,20819.075591136036
2023-01-19 19:00:00,추세확정 (BB 상단 돌파),21011.5,,2.0,1.0,20990.88894897134
2023-01-20 05:00:00,역추세 반등 (BB 하단),21006.5,20992.02906244377,1.0,1.0,
2023-01-20 05:00:00,강력한 반전 (BB 찢고 복귀),21006.5,20992.02906244377,1.5,1.0,
2023-01-20 06:15:00,강력한 반전 (BB 찢고 복귀),20967.5,20922.665270806046,1.5,1.0,
2023-01-20 07:15:00,강력한 반전 (BB 찢고 복귀),20964.5,20883.7502706711,1.5,1.0,
2023-01-20 09:15:00,강력한 반전 (BB 찢고 복귀),20937.0,20900.645792517917,1.5,1.0,
2023-01-20 12:00:00,추세확정 (BB 상단 돌파),20992.5,,2.0,1.0,20985.035303938213
2023-01-20 16:30:00,추세확정 (BB 상단 돌파),21299.0,,2.0,1.0,21252.817543850342
2023-01-20 20:00:00,추세확정 (BB 상단 돌파),21839.5,,2.0,1.0,21640.046058898915
2023-01-21 08:00:00,추세확정 (BB 상단 돌파),22735.0,,2.0,1.0,22685.255938244325
2023-01-21 08:30:00,추세확정 (BB 상단 돌파),22755.5,,2.0,1.0,22722.115412226478
2023-01-21 09:30:00,추세확정 (BB 상단 돌파),22840.5,,2.0,1.0,22800.936468269123
2023-01-21 15:15:00,추세확정 (BB 상단 돌파),23222.5,,2.0,1.0,23156.98030356743
2023-01-21 17:00:00,추세확정 (BB 상단 돌파),23284.0,,2.0,1.0,23283.256360461695
2023-01-21 21:00:00,강력한 반전 (BB 찢고 복귀),23118.0,23073.540581670244,1.5,1.0,
2023-01-21 23:00:00,역추세 반등 (BB 하단),22927.0,22880.330644814698,1.0,1.0,
2023-01-21 23:00:00,강력한 반전 (BB 찢고 복귀),22927.0,22880.330644814698,1.5,1.0,
2023-01-21 23:45:00,역추세 반등 (BB 하단),22781.5,22714.030012811876,1.0,1.0,
2023-01-22 11:30:00,역추세 반등 (BB 하단),22807.0,22790.847050814245,1.0,1.0,
2023-01-22 11:30:00,강력한 반전 (BB 찢고 복귀),22807.0,22790.847050814245,1.5,1.0,
2023-01-22 12:30:00,역추세 반등 (BB 하단),22804.0,22728.11407030969,1.0,1.0,
2023-01-22 12:30:00,강력한 반전 (BB 찢고 복귀),22804.0,22728.11407030969,1.5,1.0,
2023-01-22 15:00:00,추세확정 (BB 상단 돌파),23037.5,,2.0,1.0,23027.102769999434
2023-01-22 20:15:00,역추세 반등 (BB 하단),22568.5,22599.837914741925,1.0,1.0,
2023-01-22 21:15:00,역추세 반등 (BB 하단),22449.5,22386.004799920156,1.0,1.0,
2023-01-22 21:15:00,강력한 반전 (BB 찢고 복귀),22449.5,22386.004799920156,1.5,1.0,
2023-01-23 07:30:00,강력한 반전 (BB 찢고 복귀),22707.0,22662.019944279768,1.5,1.0,
2023-01-23 10:00:00,추세확정 (BB 상단 돌파),22858.0,,2.0,1.0,22824.128185214387
2023-01-23 14:15:00,역추세 반등 (BB 하단),22792.0,22748.417331289078,1.0,1.0,
2023-01-23 14:15:00,강력한 반전 (BB 찢고 복귀),22792.0,22748.417331289078,1.5,1.0,
2023-01-23 14:30:00,강력한 반전 (BB 찢고 복귀),22805.0,22756.002066068155,1.5,1.0,
2023-01-23 15:00:00,역추세 반등 (BB 하단),22777.5,22697.498019738996,1.0,1.0,
2023-01-23 15:00:00,강력한 반전 (BB 찢고 복귀),22777.5,22697.498019738996,1.5,1.0,
2023-01-23 17:45:00,추세확정 (BB 상단 돌파),23067.5,,2.0,1.0,23017.324040374795
2023-01-23 19:45:00,강력한 반전 (BB 찢고 복귀),22792.0,22680.322841259593,1.5,1.0,
2023-01-24 01:45:00,추세확정 (BB 상단 돌파),23092.5,,2.0,1.0,23049.051393833393
2023-01-24 09:15:00,역추세 반등 (BB 하단),22913.0,22945.039257572455,1.0,1.0,
2023-01-24 09:45:00,역추세 반등 (BB 하단),22850.0,22852.708008848345,1.0,1.0,
2023-01-24 10:00:00,역추세 반등 (BB 하단),22882.0,22831.34248698183,1.0,1.0,
2023-01-24 14:00:00,강력한 반전 (BB 찢고 복귀),22933.5,22808.172427989135,1.5,1.0,
2023-01-24 14:45:00,강력한 반전 (BB 찢고 복귀),22864.5,22810.63899871157,1.5,1.0,
2023-01-24 15:00:00,강력한 반전 (BB 찢고 복귀),22890.5,22811.509744446463,1.5,1.0,
2023-01-24 17:00:00,강력한 반전 (BB 찢고 복귀),22880.0,22805.87513956973,1.5,1.0,
2023-01-24 18:00:00,추세확정 (BB 상단 돌파),22999.5,,2.0,1.0,22983.084057962304
2023-01-24 22:30:00,역추세 반등 (BB 하단),22830.0,22794.515097652133,1.0,1.0,
2023-01-24 22:30:00,강력한 반전 (BB 찢고 복귀),22830.0,22794.515097652133,1.5,1.0,
2023-01-24 23:45:00,역추세 반등 (BB 하단),22631.0,22572.402166026142,1.0,1.0,
2023-01-24 23:45:00,강력한 반전 (BB 찢고 복귀),22631.0,22572.402166026142,1.5,1.0,
2023-01-25 01:30:00,역추세 반등 (BB 하단),22473.0,22358.5855150989,1.0,1.0,
2023-01-25 09:15:00,강력한 반전 (BB 찢고 복귀),22652.5,22604.59234703421,1.5,1.0,
2023-01-25 10:15:00,역추세 반등 (BB 하단),22586.0,22567.497320958304,1.0,1.0,
2023-01-25 10:15:00,강력한 반전 (BB 찢고 복귀),22586.0,22567.497320958304,1.5,1.0,
2023-01-25 10:45:00,역추세 반등 (BB 하단),22609.5,22539.12324783771,1.0,1.0,
2023-01-25 10:45:00,강력한 반전 (BB 찢고 복귀),22609.5,22539.12324783771,1.5,1.0,
2023-01-25 15:15:00,역추세 반등 (BB 하단),22552.5,22438.298123794248,1.0,1.0,
2023-01-25 15:15:00,강력한 반전 (BB 찢고 복귀),22552.5,22438.298123794248,1.5,1.0,
2023-01-25 20:00:00,추세확정 (BB 상단 돌파),22916.0,,2.0,1.0,22826.825953011965
2023-01-25 21:30:00,추세확정 (BB 상단 돌파),23247.5,,2.0,1.0,23128.445862678902
2023-01-26 06:00:00,강력한 반전 (BB 찢고 복귀),23154.0,23118.38239146777,1.5,1.0,
2023-01-26 06:30:00,역추세 반등 (BB 하단),23047.0,23053.305751162676,1.0,1.0,
2023-01-26 06:45:00,역추세 반등 (BB 하단),23090.0,23045.613607527124,1.0,1.0,
2023-01-26 08:30:00,강력한 반전 (BB 찢고 복귀),23028.5,22937.39611109516,1.5,1.0,
2023-01-26 10:15:00,강력한 반전 (BB 찢고 복귀),22973.0,22897.947650558526,1.5,1.0,
2023-01-26 10:45:00,강력한 반전 (BB 찢고 복귀),22937.0,22894.621952595695,1.5,1.0,
2023-01-26 12:30:00,추세확정 (BB 상단 돌파),23088.5,,2.0,1.0,23070.366088385737
2023-01-26 14:00:00,추세확정 (BB 상단 돌파),23174.0,,2.0,1.0,23160.717722494865
2023-01-26 16:00:00,강력한 반전 (BB 찢고 복귀),22957.5,22909.84052221354,1.5,1.0,
2023-01-26 21:15:00,강력한 반전 (BB 찢고 복귀),23049.0,22962.88127230673,1.5,1.0,
2023-01-27 01:00:00,강력한 반전 (BB 찢고 복귀),22952.0,22913.753045069,1.5,1.0,
2023-01-27 02:00:00,역추세 반등 (BB 하단),22734.0,22698.388686558555,1.0,1.0,
2023-01-27 02:00:00,강력한 반전 (BB 찢고 복귀),22734.0,22698.388686558555,1.5,1.0,
2023-01-27 05:45:00,추세확정 (BB 상단 돌파),23028.0,,2.0,1.0,22988.154322930313
2023-01-27 10:45:00,강력한 반전 (BB 찢고 복귀),22950.0,22908.887151008257,1.5,1.0,
2023-01-27 12:45:00,강력한 반전 (BB 찢고 복귀),22930.0,22910.252879529988,1.5,1.0,
2023-01-27 13:30:00,강력한 반전 (BB 찢고 복귀),22957.0,22914.15847503761,1.5,1.0,
2023-01-27 14:00:00,역추세 반등 (BB 하단),22907.5,22901.63188484798,1.0,1.0,
2023-01-27 14:00:00,강력한 반전 (BB 찢고 복귀),22907.5,22901.63188484798,1.5,1.0,
2023-01-27 14:30:00,역추세 반등 (BB 하단),22932.5,22891.81427921583,1.0,1.0,
2023-01-27 14:30:00,강력한 반전 (BB 찢고 복귀),22932.5,22891.81427921583,1.5,1.0,
2023-01-27 15:00:00,추세확정 (BB 상단 돌파),23096.0,,2.0,1.0,23034.848240199575
